datetime,EnergyConsumption,Temperature,Humidity,hour,day_of_week,month,day_of_year,week_of_year,is_weekend
2023-03-21 04:00:00,215.13787196217038,12.266166666666667,56.65,4,1,3,80,12,0
2023-03-21 05:00:00,197.37522857510908,11.96,58.9,5,1,3,80,12,0
2023-03-21 06:00:00,182.842156712968,11.146666666666667,59.93333333333333,6,1,3,80,12,0
2023-03-21 07:00:00,192.5199464015193,13.983333333333333,53.96666666666667,7,1,3,80,12,0
2023-03-21 08:00:00,200.4381379648794,15.536,47.25,8,1,3,80,12,0
2023-03-21 09:00:00,207.2654462136892,18.583666666666666,39.13333333333333,9,1,3,80,12,0
2023-03-21 10:00:00,221.10172872029116,20.793389830508474,33.79661016949152,10,1,3,80,12,0
2023-03-21 11:00:00,232.42232349842004,23.735833333333336,25.666666666666668,11,1,3,80,12,0
2023-03-21 12:00:00,233.3143252865861,26.250166666666665,17.033333333333335,12,1,3,80,12,0
2023-03-21 13:00:00,225.91535705266134,27.064745762711862,20.440677966101696,13,1,3,80,12,0
2023-03-21 14:00:00,219.86165577035928,27.691,20.5,14,1,3,80,12,0
2023-03-21 15:00:00,216.88347593332423,28.245,19.7,15,1,3,80,12,0
2023-03-21 16:00:00,222.411934854538,27.5955,22.916666666666668,16,1,3,80,12,0
2023-03-21 17:00:00,230.373401244622,27.392833333333336,19.416666666666668,17,1,3,80,12,0
2023-03-21 18:00:00,236.88732829105436,25.893166666666666,21.883333333333333,18,1,3,80,12,0
2023-03-21 19:00:00,240.44842011692324,22.845833333333335,29.833333333333332,19,1,3,80,12,0
2023-03-21 20:00:00,228.09598009566446,20.629666666666665,33.43333333333333,20,1,3,80,12,0
2023-03-21 21:00:00,217.9894382600891,19.208333333333332,33.45,21,1,3,80,12,0
2023-03-21 22:00:00,216.4792373643153,18.708000000000002,26.9,22,1,3,80,12,0
2023-03-21 23:00:00,215.2436184495913,17.718813559322037,28.83050847457627,23,1,3,80,12,0
2023-03-22 00:00:00,199.59386964057467,16.395500000000002,29.566666666666666,0,2,3,81,12,0
2023-03-22 01:00:00,186.78952970592474,15.3545,29.1,1,2,3,81,12,0
2023-03-22 02:00:00,185.13325157757478,15.25,27.4,2,2,3,81,12,0
2023-03-22 03:00:00,183.77811492710663,16.476000000000003,27.1,3,2,3,81,12,0
2023-03-22 04:00:00,184.09451827369327,15.622666666666667,27.6,4,2,3,81,12,0
2023-03-22 05:00:00,184.35339373908238,17.254833333333334,25.616666666666667,5,2,3,81,12,0
2023-03-22 06:00:00,215.24368578652192,16.875333333333334,28.816666666666666,6,2,3,81,12,0
2023-03-22 07:00:00,247.3378641283664,18.207333333333334,30.55,7,2,3,81,12,0
2023-03-22 08:00:00,270.124313074724,17.780166666666666,43.833333333333336,8,2,3,81,12,0
2023-03-22 09:00:00,288.76777130356203,21.8045,34.45,9,2,3,81,12,0
2023-03-22 10:00:00,299.1844168908959,24.313728813559322,30.23728813559322,10,2,3,81,12,0
2023-03-22 11:00:00,305.31815927436935,26.800666666666665,26.783333333333335,11,2,3,81,12,0
2023-03-22 12:00:00,310.33667576993855,29.051,19.15,12,2,3,81,12,0
2023-03-22 13:00:00,317.77303775116184,30.642,16.3,13,2,3,81,12,0
2023-03-22 14:00:00,328.2530914933748,31.285666666666668,16.383333333333333,14,2,3,81,12,0
2023-03-22 15:00:00,336.8276809188218,31.981499999999997,15.566666666666666,15,2,3,81,12,0
2023-03-22 16:00:00,327.6123449941875,31.646,17.866666666666667,16,2,3,81,12,0
2023-03-22 17:00:00,320.07252469221396,27.590833333333332,25.5,17,2,3,81,12,0
2023-03-22 18:00:00,323.88267171787203,25.36433333333333,31.5,18,2,3,81,12,0
2023-03-22 19:00:00,327.000064738865,23.741,42.96666666666667,19,2,3,81,12,0
2023-03-22 20:00:00,327.62247721058645,22.414166666666667,44.18333333333333,20,2,3,81,12,0
2023-03-22 21:00:00,328.1317237783586,21.534166666666668,45.483333333333334,21,2,3,81,12,0
2023-03-22 22:00:00,325.0935983456216,20.613166666666665,55.68333333333333,22,2,3,81,12,0
2023-03-22 23:00:00,322.6078593552004,19.896779661016947,55.25423728813559,23,2,3,81,12,0
2023-03-23 00:00:00,308.94915765425486,20.6635,35.88333333333333,0,3,3,82,12,0
2023-03-23 01:00:00,291.6580650167809,20.34,36.0,1,3,3,82,12,0
2023-03-23 02:00:00,275.902356225851,19.78533333333333,38.3,2,3,3,82,12,0
2023-03-23 03:00:00,252.18738236660533,20.65666666666667,41.4,3,3,3,82,12,0
2023-03-23 04:00:00,225.60119163328315,18.814999999999998,44.2,4,3,3,82,12,0
2023-03-23 05:00:00,203.848853760565,18.897666666666666,43.5,5,3,3,82,12,0
2023-03-23 06:00:00,206.7623955010683,19.3,44.2,6,3,3,82,12,0
2023-03-23 07:00:00,220.51317207663163,18.901999999999997,48.1,7,3,3,82,12,0
2023-03-23 08:00:00,234.884110486941,20.355666666666664,31.683333333333334,8,3,3,82,12,0
2023-03-23 09:00:00,243.52184797416385,23.194333333333336,27.883333333333333,9,3,3,82,12,0
2023-03-23 10:00:00,256.0730271303765,26.601525423728813,18.983050847457626,10,3,3,82,12,0
2023-03-23 11:00:00,274.7679312884899,28.183833333333332,19.033333333333335,11,3,3,82,12,0
2023-03-23 12:00:00,290.0637619633099,29.963666666666665,17.083333333333332,12,3,3,82,12,0
2023-03-23 13:00:00,299.254593121496,30.690333333333335,16.866666666666667,13,3,3,82,12,0
2023-03-23 14:00:00,299.826788311527,32.094166666666666,12.35,14,3,3,82,12,0
2023-03-23 15:00:00,289.9682813457948,31.713666666666665,15.266666666666667,15,3,3,82,12,0
2023-03-23 16:00:00,278.5716241314079,31.470333333333333,16.0,16,3,3,82,12,0
2023-03-23 17:00:00,263.54920762266704,30.37183333333333,18.283333333333335,17,3,3,82,12,0
2023-03-23 18:00:00,251.2581395700609,28.314666666666664,22.183333333333334,18,3,3,82,12,0
2023-03-23 19:00:00,262.00302328459526,26.8475,24.683333333333334,19,3,3,82,12,0
2023-03-23 20:00:00,271.6255038995173,24.939666666666668,29.35,20,3,3,82,12,0
2023-03-23 21:00:00,279.4984425844535,23.24383333333333,28.733333333333334,21,3,3,82,12,0
2023-03-23 22:00:00,265.87448332667407,22.809166666666666,24.15,22,3,3,82,12,0
2023-03-23 23:00:00,239.90839853076105,22.3345,17.7,23,3,3,82,12,0
2023-03-24 00:00:00,218.66342006137768,21.84220338983051,13.830508474576272,0,4,3,83,12,0
2023-03-24 01:00:00,220.34734368658172,21.572962962962965,12.574074074074074,1,4,3,83,12,0
2023-03-24 02:00:00,221.7250993799305,20.754166666666666,13.85,2,4,3,83,12,0
2023-03-24 03:00:00,222.85235403812493,18.615666666666666,15.8,3,4,3,83,12,0
2023-03-24 04:00:00,222.61435027361736,19.3475,16.466666666666665,4,4,3,83,12,0
2023-03-24 05:00:00,219.37083204205055,18.768166666666666,17.416666666666668,5,4,3,83,12,0
2023-03-24 06:00:00,211.34310500410197,19.296666666666667,14.366666666666667,6,4,3,83,12,0
2023-03-24 07:00:00,195.45708591244704,19.965333333333334,15.033333333333333,7,4,3,83,12,0
2023-03-24 08:00:00,182.45943392836574,16.8555,33.8,8,4,3,83,12,0
2023-03-24 09:00:00,192.88468836563257,24.254666666666665,12.566666666666666,9,4,3,83,12,0
2023-03-24 10:00:00,206.97080563248724,25.75316666666667,13.916666666666666,10,4,3,83,12,0
2023-03-24 11:00:00,218.4958106690047,27.08466666666667,12.933333333333334,11,4,3,83,12,0
2023-03-24 12:00:00,230.72899660797353,27.837666666666667,14.916666666666666,12,4,3,83,12,0
2023-03-24 13:00:00,233.67523964894804,29.121333333333332,13.466666666666667,13,4,3,83,12,0
2023-03-24 14:00:00,239.28155971277565,29.141333333333332,6.1,14,4,3,83,12,0
2023-03-24 15:00:00,243.475215522574,29.073666666666668,5.3,15,4,3,83,12,0
2023-03-24 16:00:00,247.29972179119687,29.309,4.75,16,4,3,83,12,0
2023-03-24 17:00:00,261.2788632837065,28.430999999999997,4.55,17,4,3,83,12,0
2023-03-24 18:00:00,272.71634268666895,27.031333333333336,6.3,18,4,3,83,12,0
2023-03-24 19:00:00,260.49731068303214,21.941666666666666,8.4,19,4,3,83,12,0
2023-03-24 20:00:00,239.01386025581417,21.7725,8.583333333333334,20,4,3,83,12,0
2023-03-24 21:00:00,221.436491724454,20.699833333333334,10.216666666666667,21,4,3,83,12,0
2023-03-24 22:00:00,224.9153114109169,19.125999999999998,10.316666666666666,22,4,3,83,12,0
2023-03-24 23:00:00,227.76161842711383,17.6295,11.333333333333334,23,4,3,83,12,0
2023-03-25 00:00:00,227.41143202588205,16.92779661016949,11.728813559322035,0,5,3,84,12,1
2023-03-25 01:00:00,202.70396056354912,15.531694915254237,12.779661016949152,1,5,3,84,12,1
2023-03-25 02:00:00,182.48875663982216,15.901333333333334,12.233333333333333,2,5,3,84,12,1
2023-03-25 03:00:00,177.82292209924844,14.678500000000001,13.783333333333333,3,5,3,84,12,1
2023-03-25 04:00:00,184.52784535393053,13.383666666666667,15.25,4,5,3,84,12,1
2023-03-25 05:00:00,190.0136916532159,14.150833333333333,14.2,5,5,3,84,12,1
2023-03-25 06:00:00,192.07483862535844,12.726333333333335,14.8,6,5,3,84,12,1
2023-03-25 07:00:00,189.4372922086266,13.672333333333334,14.583333333333334,7,5,3,84,12,1
2023-03-25 08:00:00,177.25172392827022,18.040833333333335,19.983333333333334,8,5,3,84,12,1
2023-03-25 09:00:00,167.28171351706956,17.8765,30.333333333333332,9,5,3,84,12,1
2023-03-25 10:00:00,174.6674728467857,20.131016949152542,28.88135593220339,10,5,3,84,12,1
2023-03-25 11:00:00,186.86520505646104,23.254,17.033333333333335,11,5,3,84,12,1
2023-03-25 12:00:00,196.84516777346812,24.277833333333334,15.666666666666666,12,5,3,84,12,1
2023-03-25 13:00:00,199.04665242071633,25.764666666666667,13.866666666666667,13,5,3,84,12,1
2023-03-25 14:00:00,200.84786713210124,26.059833333333334,20.65,14,5,3,84,12,1
2023-03-25 15:00:00,217.55552765353735,26.420333333333335,16.85,15,5,3,84,12,1
2023-03-25 16:00:00,231.22543171653055,26.478166666666667,18.7,16,5,3,84,12,1
2023-03-25 17:00:00,242.40989867716135,25.360666666666667,19.633333333333333,17,5,3,84,12,1
2023-03-25 18:00:00,241.7696140691926,23.842666666666666,21.8,18,5,3,84,12,1
2023-03-25 19:00:00,247.0787751475212,22.547666666666665,24.666666666666668,19,5,3,84,12,1
2023-03-25 20:00:00,245.58960390857794,19.5995,28.933333333333334,20,5,3,84,12,1
2023-03-25 21:00:00,250.20422137974558,18.62933333333333,30.3,21,5,3,84,12,1
2023-03-25 22:00:00,247.93921143191304,17.770500000000002,30.766666666666666,22,5,3,84,12,1
2023-03-25 23:00:00,242.98147602005005,16.845333333333333,31.366666666666667,23,5,3,84,12,1
2023-03-26 00:00:00,230.47272280428336,17.103833333333334,28.966666666666665,0,6,3,85,12,1
2023-03-26 01:00:00,211.27706596159393,16.03813559322034,29.406779661016948,1,6,3,85,12,1
2023-03-26 02:00:00,195.57152854484804,14.797166666666666,30.45,2,6,3,85,12,1
2023-03-26 03:00:00,201.4479172942696,14.772666666666668,34.6,3,6,3,85,12,1
2023-03-26 04:00:00,208.43799293773571,14.715333333333332,40.6,4,6,3,85,12,1
2023-03-26 05:00:00,215.81197881346324,15.65,45.898305084745765,5,6,3,85,12,1
2023-03-26 06:00:00,221.84523998451306,12.478666666666667,52.8,6,6,3,85,12,1
2023-03-26 07:00:00,224.3751963509652,15.927666666666665,48.36666666666667,7,6,3,85,12,1
2023-03-26 08:00:00,204.43819095382003,17.429333333333332,33.71666666666667,8,6,3,85,12,1
2023-03-26 09:00:00,188.12609562888304,20.630166666666664,20.166666666666668,9,6,3,85,12,1
2023-03-26 10:00:00,177.45571152378565,24.20423728813559,11.152542372881356,10,6,3,85,12,1
2023-03-26 11:00:00,192.2346730649155,27.180333333333333,12.633333333333333,11,6,3,85,12,1
2023-03-26 12:00:00,204.32655068947633,28.504666666666665,10.8,12,6,3,85,12,1
2023-03-26 13:00:00,209.04899601866245,29.870166666666666,10.2,13,6,3,85,12,1
2023-03-26 14:00:00,212.91281492436016,29.744500000000002,2.75,14,6,3,85,12,1
2023-03-26 15:00:00,220.00775766538558,29.6925,8.35,15,6,3,85,12,1
2023-03-26 16:00:00,225.81271081713365,29.753333333333334,9.6,16,6,3,85,12,1
2023-03-26 17:00:00,235.34252097159418,28.890666666666668,7.433333333333334,17,6,3,85,12,1
2023-03-26 18:00:00,247.47266867372855,28.55233333333333,17.016666666666666,18,6,3,85,12,1
2023-03-26 19:00:00,257.39733497547485,25.589,21.066666666666666,19,6,3,85,12,1
2023-03-26 20:00:00,257.3650922526612,22.156166666666667,18.8,20,6,3,85,12,1
2023-03-26 21:00:00,256.5623482067228,20.203666666666667,21.216666666666665,21,6,3,85,12,1
2023-03-26 22:00:00,233.1098000479247,18.661,6.533333333333333,22,6,3,85,12,1
2023-03-26 23:00:00,213.92135155436262,18.115000000000002,6.75,23,6,3,85,12,1
2023-03-27 00:00:00,210.10656036266033,16.172,8.4,0,0,3,86,13,0
2023-03-27 01:00:00,206.98536756944935,16.282,7.55,1,0,3,86,13,0
2023-03-27 02:00:00,201.10317952651914,15.985333333333333,8.183333333333334,2,0,3,86,13,0
2023-03-27 03:00:00,184.40654082472778,16.144,8.2,3,0,3,86,13,0
2023-03-27 04:00:00,170.7456546141712,16.049333333333333,14.683333333333334,4,0,3,86,13,0
2023-03-27 05:00:00,179.49605947630954,14.966949152542375,22.779661016949152,5,0,3,86,13,0
2023-03-27 06:00:00,191.05556381395022,16.085,20.9,6,0,3,86,13,0
2023-03-27 07:00:00,201.9945522114138,15.743666666666666,46.46666666666667,7,0,3,86,13,0
2023-03-27 08:00:00,219.10251241539913,17.526166666666665,41.0,8,0,3,86,13,0
2023-03-27 09:00:00,233.09993440047805,20.169333333333334,35.56666666666667,9,0,3,86,13,0
